area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Violence and sexual offences,2017-10 to 2018-11,Rate,Crimes,29.9
E05000820,Ashton upon Mersey,Violence and sexual offences,2017-10 to 2018-11,Rate,Crimes,16.4
E05000821,Bowdon,Violence and sexual offences,2017-10 to 2018-11,Rate,Crimes,15.3
E05000822,Broadheath,Violence and sexual offences,2017-10 to 2018-11,Rate,Crimes,20.7
E05000823,Brooklands,Violence and sexual offences,2017-10 to 2018-11,Rate,Crimes,11.5
E05000824,Bucklow-St Martins,Violence and sexual offences,2017-10 to 2018-11,Rate,Crimes,43.8
E05000825,Clifford,Violence and sexual offences,2017-10 to 2018-11,Rate,Crimes,33.7
E05000826,Davyhulme East,Violence and sexual offences,2017-10 to 2018-11,Rate,Crimes,32.7
E05000827,Davyhulme West,Violence and sexual offences,2017-10 to 2018-11,Rate,Crimes,27.7
E05000828,Flixton,Violence and sexual offences,2017-10 to 2018-11,Rate,Crimes,17.5
E05000829,Gorse Hill,Violence and sexual offences,2017-10 to 2018-11,Rate,Crimes,44.9
E05000830,Hale Barns,Violence and sexual offences,2017-10 to 2018-11,Rate,Crimes,16.3
E05000831,Hale Central,Violence and sexual offences,2017-10 to 2018-11,Rate,Crimes,15.6
E05000832,Longford,Violence and sexual offences,2017-10 to 2018-11,Rate,Crimes,34.8
E05000833,Priory,Violence and sexual offences,2017-10 to 2018-11,Rate,Crimes,28
E05000834,St Mary's,Violence and sexual offences,2017-10 to 2018-11,Rate,Crimes,24.1
E05000835,Sale Moor,Violence and sexual offences,2017-10 to 2018-11,Rate,Crimes,23.5
E05000836,Stretford,Violence and sexual offences,2017-10 to 2018-11,Rate,Crimes,38
E05000837,Timperley,Violence and sexual offences,2017-10 to 2018-11,Rate,Crimes,9.8
E05000838,Urmston,Violence and sexual offences,2017-10 to 2018-11,Rate,Crimes,24.2
E05000839,Village,Violence and sexual offences,2017-10 to 2018-11,Rate,Crimes,22.5
