area_code,area_name,indicator,period,measure,unit,value
E05015239,Altrincham,Ethnically Diverse Communities (Non-white ethnic group) (from best-fit OAs),2021,Percentage,Persons,20
E05015240,Ashton upon Mersey,Ethnically Diverse Communities (Non-white ethnic group) (from best-fit OAs),2021,Percentage,Persons,12.1
E05015241,Bowdon,Ethnically Diverse Communities (Non-white ethnic group) (from best-fit OAs),2021,Percentage,Persons,18.1
E05015242,Broadheath,Ethnically Diverse Communities (Non-white ethnic group) (from best-fit OAs),2021,Percentage,Persons,29.8
E05015243,Brooklands,Ethnically Diverse Communities (Non-white ethnic group) (from best-fit OAs),2021,Percentage,Persons,18.3
E05015244,Bucklow-St Martins,Ethnically Diverse Communities (Non-white ethnic group) (from best-fit OAs),2021,Percentage,Persons,10.3
E05015245,Davyhulme,Ethnically Diverse Communities (Non-white ethnic group) (from best-fit OAs),2021,Percentage,Persons,7.4
E05015246,Flixton,Ethnically Diverse Communities (Non-white ethnic group) (from best-fit OAs),2021,Percentage,Persons,6.7
E05015247,Gorse Hill & Cornbrook,Ethnically Diverse Communities (Non-white ethnic group) (from best-fit OAs),2021,Percentage,Persons,39
E05015248,Hale,Ethnically Diverse Communities (Non-white ethnic group) (from best-fit OAs),2021,Percentage,Persons,12.8
E05015249,Hale Barns & Timperley South,Ethnically Diverse Communities (Non-white ethnic group) (from best-fit OAs),2021,Percentage,Persons,29.8
E05015250,Longford,Ethnically Diverse Communities (Non-white ethnic group) (from best-fit OAs),2021,Percentage,Persons,42.4
E05015251,Lostock & Barton,Ethnically Diverse Communities (Non-white ethnic group) (from best-fit OAs),2021,Percentage,Persons,23.2
E05015252,Manor,Ethnically Diverse Communities (Non-white ethnic group) (from best-fit OAs),2021,Percentage,Persons,20
E05015253,Old Trafford,Ethnically Diverse Communities (Non-white ethnic group) (from best-fit OAs),2021,Percentage,Persons,67.5
E05015254,Sale Central,Ethnically Diverse Communities (Non-white ethnic group) (from best-fit OAs),2021,Percentage,Persons,18.4
E05015255,Sale Moor,Ethnically Diverse Communities (Non-white ethnic group) (from best-fit OAs),2021,Percentage,Persons,16.2
E05015256,Stretford & Humphrey Park,Ethnically Diverse Communities (Non-white ethnic group) (from best-fit OAs),2021,Percentage,Persons,26.7
E05015257,Timperley Central,Ethnically Diverse Communities (Non-white ethnic group) (from best-fit OAs),2021,Percentage,Persons,17
E05015258,Timperley North,Ethnically Diverse Communities (Non-white ethnic group) (from best-fit OAs),2021,Percentage,Persons,14.5
E05015259,Urmston,Ethnically Diverse Communities (Non-white ethnic group) (from best-fit OAs),2021,Percentage,Persons,9.7
