area_code,area_name,indicator,period,measure,unit,value
E05015239,Altrincham,No people in household have English as a main language (from best-fit OAs),2021,Percentage,Households,4.8
E05015240,Ashton upon Mersey,No people in household have English as a main language (from best-fit OAs),2021,Percentage,Households,2.5
E05015241,Bowdon,No people in household have English as a main language (from best-fit OAs),2021,Percentage,Households,2
E05015242,Broadheath,No people in household have English as a main language (from best-fit OAs),2021,Percentage,Households,4.8
E05015243,Brooklands,No people in household have English as a main language (from best-fit OAs),2021,Percentage,Households,2.8
E05015244,Bucklow-St Martins,No people in household have English as a main language (from best-fit OAs),2021,Percentage,Households,1.8
E05015245,Davyhulme,No people in household have English as a main language (from best-fit OAs),2021,Percentage,Households,0.7
E05015246,Flixton,No people in household have English as a main language (from best-fit OAs),2021,Percentage,Households,0.8
E05015247,Gorse Hill & Cornbrook,No people in household have English as a main language (from best-fit OAs),2021,Percentage,Households,7.5
E05015248,Hale,No people in household have English as a main language (from best-fit OAs),2021,Percentage,Households,1.8
E05015249,Hale Barns & Timperley South,No people in household have English as a main language (from best-fit OAs),2021,Percentage,Households,2.6
E05015250,Longford,No people in household have English as a main language (from best-fit OAs),2021,Percentage,Households,5.4
E05015251,Lostock & Barton,No people in household have English as a main language (from best-fit OAs),2021,Percentage,Households,2.4
E05015252,Manor,No people in household have English as a main language (from best-fit OAs),2021,Percentage,Households,3
E05015253,Old Trafford,No people in household have English as a main language (from best-fit OAs),2021,Percentage,Households,11.2
E05015254,Sale Central,No people in household have English as a main language (from best-fit OAs),2021,Percentage,Households,5.7
E05015255,Sale Moor,No people in household have English as a main language (from best-fit OAs),2021,Percentage,Households,2.9
E05015256,Stretford & Humphrey Park,No people in household have English as a main language (from best-fit OAs),2021,Percentage,Households,2.9
E05015257,Timperley Central,No people in household have English as a main language (from best-fit OAs),2021,Percentage,Households,2.6
E05015258,Timperley North,No people in household have English as a main language (from best-fit OAs),2021,Percentage,Households,1.9
E05015259,Urmston,No people in household have English as a main language (from best-fit OAs),2021,Percentage,Households,1.5
