area_code,area_name,indicator,period,measure,unit,value
E05015239,Altrincham,Old-age dependency ratio,2022-06-30,Ratio,Persons,23.4
E05015240,Ashton upon Mersey,Old-age dependency ratio,2022-06-30,Ratio,Persons,34
E05015241,Bowdon,Old-age dependency ratio,2022-06-30,Ratio,Persons,44.7
E05015242,Broadheath,Old-age dependency ratio,2022-06-30,Ratio,Persons,24.2
E05015243,Brooklands,Old-age dependency ratio,2022-06-30,Ratio,Persons,35.7
E05015244,Bucklow-St Martins,Old-age dependency ratio,2022-06-30,Ratio,Persons,26.4
E05015245,Davyhulme,Old-age dependency ratio,2022-06-30,Ratio,Persons,35.3
E05015246,Flixton,Old-age dependency ratio,2022-06-30,Ratio,Persons,39.2
E05015247,Gorse Hill & Cornbrook,Old-age dependency ratio,2022-06-30,Ratio,Persons,10.7
E05015248,Hale,Old-age dependency ratio,2022-06-30,Ratio,Persons,27.1
E05015249,Hale Barns & Timperley South,Old-age dependency ratio,2022-06-30,Ratio,Persons,45.8
E05015250,Longford,Old-age dependency ratio,2022-06-30,Ratio,Persons,23.5
E05015251,Lostock & Barton,Old-age dependency ratio,2022-06-30,Ratio,Persons,27.9
E05015252,Manor,Old-age dependency ratio,2022-06-30,Ratio,Persons,30.5
E05015253,Old Trafford,Old-age dependency ratio,2022-06-30,Ratio,Persons,14.3
E05015254,Sale Central,Old-age dependency ratio,2022-06-30,Ratio,Persons,24.5
E05015255,Sale Moor,Old-age dependency ratio,2022-06-30,Ratio,Persons,28.2
E05015256,Stretford & Humphrey Park,Old-age dependency ratio,2022-06-30,Ratio,Persons,24.6
E05015257,Timperley Central,Old-age dependency ratio,2022-06-30,Ratio,Persons,36.3
E05015258,Timperley North,Old-age dependency ratio,2022-06-30,Ratio,Persons,31.8
E05015259,Urmston,Old-age dependency ratio,2022-06-30,Ratio,Persons,33.8
