area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Population aged 0-15 years,2020-06-30,Percentage,Persons,21.9
E05000820,Ashton upon Mersey,Population aged 0-15 years,2020-06-30,Percentage,Persons,20.8
E05000821,Bowdon,Population aged 0-15 years,2020-06-30,Percentage,Persons,19.1
E05000822,Broadheath,Population aged 0-15 years,2020-06-30,Percentage,Persons,23.7
E05000823,Brooklands,Population aged 0-15 years,2020-06-30,Percentage,Persons,22.2
E05000824,Bucklow-St Martins,Population aged 0-15 years,2020-06-30,Percentage,Persons,25.7
E05000825,Clifford,Population aged 0-15 years,2020-06-30,Percentage,Persons,22.7
E05000826,Davyhulme East,Population aged 0-15 years,2020-06-30,Percentage,Persons,19.7
E05000827,Davyhulme West,Population aged 0-15 years,2020-06-30,Percentage,Persons,19.2
E05000828,Flixton,Population aged 0-15 years,2020-06-30,Percentage,Persons,18
E05000829,Gorse Hill,Population aged 0-15 years,2020-06-30,Percentage,Persons,23.3
E05000830,Hale Barns,Population aged 0-15 years,2020-06-30,Percentage,Persons,20.8
E05000831,Hale Central,Population aged 0-15 years,2020-06-30,Percentage,Persons,22.6
E05000832,Longford,Population aged 0-15 years,2020-06-30,Percentage,Persons,21
E05000833,Priory,Population aged 0-15 years,2020-06-30,Percentage,Persons,20.2
E05000835,Sale Moor,Population aged 0-15 years,2020-06-30,Percentage,Persons,23
E05000834,St Mary's,Population aged 0-15 years,2020-06-30,Percentage,Persons,21.2
E05000836,Stretford,Population aged 0-15 years,2020-06-30,Percentage,Persons,21.1
E05000837,Timperley,Population aged 0-15 years,2020-06-30,Percentage,Persons,20.7
E05000838,Urmston,Population aged 0-15 years,2020-06-30,Percentage,Persons,18.1
E05000839,Village,Population aged 0-15 years,2020-06-30,Percentage,Persons,21.5
E05000819,Altrincham,Population aged 0-15 years,2020-06-30,Count,Persons,2929
E05000820,Ashton upon Mersey,Population aged 0-15 years,2020-06-30,Count,Persons,2150
E05000821,Bowdon,Population aged 0-15 years,2020-06-30,Count,Persons,1771
E05000822,Broadheath,Population aged 0-15 years,2020-06-30,Count,Persons,3354
E05000823,Brooklands,Population aged 0-15 years,2020-06-30,Count,Persons,2400
E05000824,Bucklow-St Martins,Population aged 0-15 years,2020-06-30,Count,Persons,2688
E05000825,Clifford,Population aged 0-15 years,2020-06-30,Count,Persons,2900
E05000826,Davyhulme East,Population aged 0-15 years,2020-06-30,Count,Persons,1913
E05000827,Davyhulme West,Population aged 0-15 years,2020-06-30,Count,Persons,1923
E05000828,Flixton,Population aged 0-15 years,2020-06-30,Count,Persons,1912
E05000829,Gorse Hill,Population aged 0-15 years,2020-06-30,Count,Persons,2895
E05000830,Hale Barns,Population aged 0-15 years,2020-06-30,Count,Persons,2109
E05000831,Hale Central,Population aged 0-15 years,2020-06-30,Count,Persons,2451
E05000832,Longford,Population aged 0-15 years,2020-06-30,Count,Persons,2720
E05000833,Priory,Population aged 0-15 years,2020-06-30,Count,Persons,2411
E05000835,Sale Moor,Population aged 0-15 years,2020-06-30,Count,Persons,2511
E05000834,St Mary's,Population aged 0-15 years,2020-06-30,Count,Persons,2575
E05000836,Stretford,Population aged 0-15 years,2020-06-30,Count,Persons,2391
E05000837,Timperley,Population aged 0-15 years,2020-06-30,Count,Persons,2314
E05000838,Urmston,Population aged 0-15 years,2020-06-30,Count,Persons,2015
E05000839,Village,Population aged 0-15 years,2020-06-30,Count,Persons,2363
