area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Population aged 80 or more years,2017-06-30,Percentage,Persons,4.9
E05000820,Ashton upon Mersey,Population aged 80 or more years,2017-06-30,Percentage,Persons,6
E05000821,Bowdon,Population aged 80 or more years,2017-06-30,Percentage,Persons,8.5
E05000822,Broadheath,Population aged 80 or more years,2017-06-30,Percentage,Persons,3.6
E05000823,Brooklands,Population aged 80 or more years,2017-06-30,Percentage,Persons,6
E05000824,Bucklow-St Martins,Population aged 80 or more years,2017-06-30,Percentage,Persons,4.3
E05000825,Clifford,Population aged 80 or more years,2017-06-30,Percentage,Persons,3.1
E05000826,Davyhulme East,Population aged 80 or more years,2017-06-30,Percentage,Persons,4.7
E05000827,Davyhulme West,Population aged 80 or more years,2017-06-30,Percentage,Persons,4.8
E05000828,Flixton,Population aged 80 or more years,2017-06-30,Percentage,Persons,6.6
E05000829,Gorse Hill,Population aged 80 or more years,2017-06-30,Percentage,Persons,2.8
E05000830,Hale Barns,Population aged 80 or more years,2017-06-30,Percentage,Persons,7.9
E05000831,Hale Central,Population aged 80 or more years,2017-06-30,Percentage,Persons,4.2
E05000832,Longford,Population aged 80 or more years,2017-06-30,Percentage,Persons,4.1
E05000833,Priory,Population aged 80 or more years,2017-06-30,Percentage,Persons,4.5
E05000834,St Mary's,Population aged 80 or more years,2017-06-30,Percentage,Persons,4.9
E05000835,Sale Moor,Population aged 80 or more years,2017-06-30,Percentage,Persons,4.9
E05000836,Stretford,Population aged 80 or more years,2017-06-30,Percentage,Persons,4.1
E05000837,Timperley,Population aged 80 or more years,2017-06-30,Percentage,Persons,5.2
E05000838,Urmston,Population aged 80 or more years,2017-06-30,Percentage,Persons,7
E05000839,Village,Population aged 80 or more years,2017-06-30,Percentage,Persons,5.6
