area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Population density per km sq,2019-06-30,Density,Persons,4352.1
E05000820,Ashton upon Mersey,Population density per km sq,2019-06-30,Density,Persons,4490.1
E05000821,Bowdon,Population density per km sq,2019-06-30,Density,Persons,401.1
E05000822,Broadheath,Population density per km sq,2019-06-30,Density,Persons,3385.8
E05000823,Brooklands,Population density per km sq,2019-06-30,Density,Persons,4836.3
E05000824,Bucklow-St Martins,Population density per km sq,2019-06-30,Density,Persons,803.6
E05000825,Clifford,Population density per km sq,2019-06-30,Density,Persons,6813.3
E05000826,Davyhulme East,Population density per km sq,2019-06-30,Density,Persons,2312.5
E05000827,Davyhulme West,Population density per km sq,2019-06-30,Density,Persons,2292.6
E05000828,Flixton,Population density per km sq,2019-06-30,Density,Persons,2678.5
E05000829,Gorse Hill,Population density per km sq,2019-06-30,Density,Persons,1408.7
E05000830,Hale Barns,Population density per km sq,2019-06-30,Density,Persons,1217.5
E05000831,Hale Central,Population density per km sq,2019-06-30,Density,Persons,4151.2
E05000832,Longford,Population density per km sq,2019-06-30,Density,Persons,3672.1
E05000833,Priory,Population density per km sq,2019-06-30,Density,Persons,3646.5
E05000834,St Mary's,Population density per km sq,2019-06-30,Density,Persons,4509.6
E05000835,Sale Moor,Population density per km sq,2019-06-30,Density,Persons,3822.9
E05000836,Stretford,Population density per km sq,2019-06-30,Density,Persons,3494.9
E05000837,Timperley,Population density per km sq,2019-06-30,Density,Persons,5369.9
E05000838,Urmston,Population density per km sq,2019-06-30,Density,Persons,3027.1
E05000839,Village,Population density per km sq,2019-06-30,Density,Persons,5006.3
