indicator,period,geography,source,description,data,code
Total resident population,2017,Electoral ward,ONS Mid-Year Population Estimates,"Count of people based on the mid-year (30 June) estimates of the usual resident population for the 2016 electoral wards.",https://www.trafforddatalab.io/ward_data/demographics/data/total_resident_population.csv,https://www.trafforddatalab.io/ward_data/demographics/code/total_resident_population.R
Percentage of population aged 0-15 years,2017,Electoral ward,ONS Mid-Year Population Estimates,"Percentage of people based on the mid-year (30 June) estimates of the usual resident population for the 2016 electoral wards.",https://www.trafforddatalab.io/ward_data/demographics/data/population_0-15_years.csv,https://www.trafforddatalab.io/ward_data/demographics/code/population_0-15_years.R
Percentage of population aged 20-44 years,2017,Electoral ward,ONS Mid-Year Population Estimates,"Percentage of people based on the mid-year (30 June) estimates of the usual resident population for the 2016 electoral wards.",https://www.trafforddatalab.io/ward_data/demographics/data/population_20-44_years.csv,https://www.trafforddatalab.io/ward_data/demographics/code/population_20-44_years.R
Percentage of population aged 16-64 years,2017,Electoral ward,ONS Mid-Year Population Estimates,"Percentage of people based on the mid-year (30 June) estimates of the usual resident population for the 2016 electoral wards.",https://www.trafforddatalab.io/ward_data/demographics/data/population_16-64_years.csv,https://www.trafforddatalab.io/ward_data/demographics/code/population_16-64_years.R
Percentage of population aged 65 or more years,2017,Electoral ward,ONS Mid-Year Population Estimates,"Percentage of people based on the mid-year (30 June) estimates of the usual resident population for the 2016 electoral wards.",https://www.trafforddatalab.io/ward_data/demographics/data/population_65_or_more_years.csv,https://www.trafforddatalab.io/ward_data/demographics/code/population_65_or_more_years.R
Percentage of population aged 80 or more years,2017,Electoral ward,ONS Mid-Year Population Estimates,"Percentage of people based on the mid-year (30 June) estimates of the usual resident population for the 2016 electoral wards.",https://www.trafforddatalab.io/ward_data/demographics/data/population_80_or_more_years.csv,https://www.trafforddatalab.io/ward_data/demographics/code/population_80_or_more_years.R
Median age,2017,Electoral ward,ONS Mid-Year Population Estimates,"Median age (value at which half the population is older and half is younger). Based on the mid-year (30 June) estimates of the usual resident population for the 2016 electoral wards.",https://www.trafforddatalab.io/ward_data/demographics/data/median_age.csv,https://www.trafforddatalab.io/ward_data/demographics/R/median_age.R
Old-age dependency ratio,2017,Electoral ward,ONS Mid-Year Population Estimates,"Number of people aged 65 or over expressed as a percentage of the labour force (those people aged 15 - 64). Based on mid-year (30 June) estimates of the usual resident population for the 2016 electoral wards.",https://www.trafforddatalab.io/ward_data/demographics/data/old_age_dependency_ratio.csv,https://www.trafforddatalab.io/ward_data/demographics/code/old_age_dependency_ratio.R
Population change,2007 to 2017,Electoral ward,ONS Mid-Year Population Estimates,"Percentage change in the population based on the mid-year (30 June) estimates of the usual resident population for 2007 and 2017. Based on the 2016 electoral wards which were the same in Trafford in 2007.",https://www.trafforddatalab.io/ward_data/demographics/data/population_change.csv,https://www.trafforddatalab.io/ward_data/demographics/code/population_change.R
Population density per km sq,2017,Electoral ward,ONS Mid-Year Population Estimates,"Number of people per square kilometre. Based on mid-year (30 June) estimates of the usual resident population for the 2016 electoral wards.",https://www.trafforddatalab.io/ward_data/demographics/data/population_density.csv,https://www.trafforddatalab.io/ward_data/demographics/code/population_density.R
Non-white ethnic group,2011,Electoral ward,Census 2011,"Percentage of people identifying their ethnic group as anything other than white. Estimates as at census day, 27 March 2011.",https://www.trafforddatalab.io/ward_data/demographics/data/bme.csv,https://www.trafforddatalab.io/ward_data/demographics/code/bme.R
No people in household have English as a main language,2011,Electoral ward,Census 2011,"Percentage of households who do not speak English as their main language. Estimates as at census day, 27 March 2011.",https://www.trafforddatalab.io/ward_data/demographics/data/non_english_speaking_households.csv,https://www.trafforddatalab.io/ward_data/demographics/code/non_english_speaking_households.R
Single ethnicity households,2011,Electoral ward,Census 2011,"Percentage of households where all household members have the same ethnic group. Estimates as at census day, 27 March 2011.",https://www.trafforddatalab.io/ward_data/demographics/data/single_ethnicity_households.csv,https://www.trafforddatalab.io/ward_data/demographics/code/single_ethnicity_households.R
Born in the EU (not UK),2011,Electoral ward,Census 2011,"Percentage of people whose country of birth was inside the European Union but outside the United Kingdom. Estimates as at census day, 27 March 2011.",https://www.trafforddatalab.io/ward_data/demographics/data/eu_born.csv,https://www.trafforddatalab.io/ward_data/demographics/code/eu_born.R
People with no religious belief,2011,Electoral ward,Census 2011,"Percentage of people indicating that they do not have any religious belief or affiliation. Estimates as at census day, 27 March 2011.",https://www.trafforddatalab.io/ward_data/demographics/data/no_religion.csv,https://www.trafforddatalab.io/ward_data/demographics/code/no_religion.R
