area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Children in low income families (0-15 years),2020/21,Percent,Persons,6.3
E05000819,Altrincham,Children in low income families (0-15 years),2020/21,Count,Persons,185
E05000820,Ashton upon Mersey,Children in low income families (0-15 years),2020/21,Percent,Persons,4.7
E05000820,Ashton upon Mersey,Children in low income families (0-15 years),2020/21,Count,Persons,101
E05000821,Bowdon,Children in low income families (0-15 years),2020/21,Percent,Persons,6.4
E05000821,Bowdon,Children in low income families (0-15 years),2020/21,Count,Persons,113
E05000822,Broadheath,Children in low income families (0-15 years),2020/21,Percent,Persons,7.3
E05000822,Broadheath,Children in low income families (0-15 years),2020/21,Count,Persons,246
E05000823,Brooklands,Children in low income families (0-15 years),2020/21,Percent,Persons,3.6
E05000823,Brooklands,Children in low income families (0-15 years),2020/21,Count,Persons,86
E05000824,Bucklow-St Martins,Children in low income families (0-15 years),2020/21,Percent,Persons,22.5
E05000824,Bucklow-St Martins,Children in low income families (0-15 years),2020/21,Count,Persons,605
E05000825,Clifford,Children in low income families (0-15 years),2020/21,Percent,Persons,30.4
E05000825,Clifford,Children in low income families (0-15 years),2020/21,Count,Persons,883
E05000826,Davyhulme East,Children in low income families (0-15 years),2020/21,Percent,Persons,7.5
E05000826,Davyhulme East,Children in low income families (0-15 years),2020/21,Count,Persons,144
E05000827,Davyhulme West,Children in low income families (0-15 years),2020/21,Percent,Persons,9.7
E05000827,Davyhulme West,Children in low income families (0-15 years),2020/21,Count,Persons,187
E05000828,Flixton,Children in low income families (0-15 years),2020/21,Percent,Persons,6.8
E05000828,Flixton,Children in low income families (0-15 years),2020/21,Count,Persons,130
E05000829,Gorse Hill,Children in low income families (0-15 years),2020/21,Percent,Persons,19.4
E05000829,Gorse Hill,Children in low income families (0-15 years),2020/21,Count,Persons,562
E05000830,Hale Barns,Children in low income families (0-15 years),2020/21,Percent,Persons,5.9
E05000830,Hale Barns,Children in low income families (0-15 years),2020/21,Count,Persons,125
E05000831,Hale Central,Children in low income families (0-15 years),2020/21,Percent,Persons,3.5
E05000831,Hale Central,Children in low income families (0-15 years),2020/21,Count,Persons,86
E05000832,Longford,Children in low income families (0-15 years),2020/21,Percent,Persons,23.1
E05000832,Longford,Children in low income families (0-15 years),2020/21,Count,Persons,628
E05000833,Priory,Children in low income families (0-15 years),2020/21,Percent,Persons,5.5
E05000833,Priory,Children in low income families (0-15 years),2020/21,Count,Persons,133
E05000835,Sale Moor,Children in low income families (0-15 years),2020/21,Percent,Persons,8.6
E05000835,Sale Moor,Children in low income families (0-15 years),2020/21,Count,Persons,215
E05000834,St Mary's,Children in low income families (0-15 years),2020/21,Percent,Persons,13.5
E05000834,St Mary's,Children in low income families (0-15 years),2020/21,Count,Persons,348
E05000836,Stretford,Children in low income families (0-15 years),2020/21,Percent,Persons,19.8
E05000836,Stretford,Children in low income families (0-15 years),2020/21,Count,Persons,474
E05000837,Timperley,Children in low income families (0-15 years),2020/21,Percent,Persons,4.5
E05000837,Timperley,Children in low income families (0-15 years),2020/21,Count,Persons,103
E05000838,Urmston,Children in low income families (0-15 years),2020/21,Percent,Persons,6.8
E05000838,Urmston,Children in low income families (0-15 years),2020/21,Count,Persons,137
E05000839,Village,Children in low income families (0-15 years),2020/21,Percent,Persons,11.7
E05000839,Village,Children in low income families (0-15 years),2020/21,Count,Persons,277
