area_code,area_name,indicator,period,measure,unit,value
E05015239,Altrincham,Indices of Deprivation: Crime,2025,Weighted Score,Score,-0.24
E05015240,Ashton upon Mersey,Indices of Deprivation: Crime,2025,Weighted Score,Score,-0.34
E05015241,Bowdon,Indices of Deprivation: Crime,2025,Weighted Score,Score,-0.38
E05015242,Broadheath,Indices of Deprivation: Crime,2025,Weighted Score,Score,-0.4
E05015243,Brooklands,Indices of Deprivation: Crime,2025,Weighted Score,Score,-0.76
E05015244,Bucklow-St Martins,Indices of Deprivation: Crime,2025,Weighted Score,Score,0.72
E05015245,Davyhulme,Indices of Deprivation: Crime,2025,Weighted Score,Score,-0.12
E05015246,Flixton,Indices of Deprivation: Crime,2025,Weighted Score,Score,-0.33
E05015247,Gorse Hill & Cornbrook,Indices of Deprivation: Crime,2025,Weighted Score,Score,0.5
E05015248,Hale,Indices of Deprivation: Crime,2025,Weighted Score,Score,-0.48
E05015249,Hale Barns & Timperley South,Indices of Deprivation: Crime,2025,Weighted Score,Score,-0.61
E05015250,Longford,Indices of Deprivation: Crime,2025,Weighted Score,Score,0.42
E05015251,Lostock & Barton,Indices of Deprivation: Crime,2025,Weighted Score,Score,0.07
E05015252,Manor,Indices of Deprivation: Crime,2025,Weighted Score,Score,0.12
E05015253,Old Trafford,Indices of Deprivation: Crime,2025,Weighted Score,Score,0.46
E05015254,Sale Central,Indices of Deprivation: Crime,2025,Weighted Score,Score,-0.06
E05015255,Sale Moor,Indices of Deprivation: Crime,2025,Weighted Score,Score,0.07
E05015256,Stretford & Humphrey Park,Indices of Deprivation: Crime,2025,Weighted Score,Score,0.26
E05015257,Timperley Central,Indices of Deprivation: Crime,2025,Weighted Score,Score,-0.07
E05015258,Timperley North,Indices of Deprivation: Crime,2025,Weighted Score,Score,-0.58
E05015259,Urmston,Indices of Deprivation: Crime,2025,Weighted Score,Score,0.02
