area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,"Indices of Deprivation: Education, Skills and Training",2019,Score,Persons,3.8
E05000820,Ashton upon Mersey,"Indices of Deprivation: Education, Skills and Training",2019,Score,Persons,2.9
E05000821,Bowdon,"Indices of Deprivation: Education, Skills and Training",2019,Score,Persons,1.1
E05000822,Broadheath,"Indices of Deprivation: Education, Skills and Training",2019,Score,Persons,6.7
E05000823,Brooklands,"Indices of Deprivation: Education, Skills and Training",2019,Score,Persons,1.9
E05000824,Bucklow-St Martins,"Indices of Deprivation: Education, Skills and Training",2019,Score,Persons,42.6
E05000825,Clifford,"Indices of Deprivation: Education, Skills and Training",2019,Score,Persons,21.4
E05000826,Davyhulme East,"Indices of Deprivation: Education, Skills and Training",2019,Score,Persons,10.8
E05000827,Davyhulme West,"Indices of Deprivation: Education, Skills and Training",2019,Score,Persons,13.4
E05000828,Flixton,"Indices of Deprivation: Education, Skills and Training",2019,Score,Persons,6.2
E05000829,Gorse Hill,"Indices of Deprivation: Education, Skills and Training",2019,Score,Persons,21.2
E05000830,Hale Barns,"Indices of Deprivation: Education, Skills and Training",2019,Score,Persons,1.4
E05000831,Hale Central,"Indices of Deprivation: Education, Skills and Training",2019,Score,Persons,0.6
E05000832,Longford,"Indices of Deprivation: Education, Skills and Training",2019,Score,Persons,14.4
E05000833,Priory,"Indices of Deprivation: Education, Skills and Training",2019,Score,Persons,2.3
E05000834,St Mary's,"Indices of Deprivation: Education, Skills and Training",2019,Score,Persons,14.9
E05000835,Sale Moor,"Indices of Deprivation: Education, Skills and Training",2019,Score,Persons,13.1
E05000836,Stretford,"Indices of Deprivation: Education, Skills and Training",2019,Score,Persons,14.3
E05000837,Timperley,"Indices of Deprivation: Education, Skills and Training",2019,Score,Persons,2
E05000838,Urmston,"Indices of Deprivation: Education, Skills and Training",2019,Score,Persons,11
E05000839,Village,"Indices of Deprivation: Education, Skills and Training",2019,Score,Persons,13
