area_code,area_name,indicator,period,measure,unit,value
E05015239,Altrincham,Household is deprived in health and disability (from best-fit OAs),2021,Percentage,Households,24.1
E05015240,Ashton upon Mersey,Household is deprived in health and disability (from best-fit OAs),2021,Percentage,Households,28.3
E05015241,Bowdon,Household is deprived in health and disability (from best-fit OAs),2021,Percentage,Households,27.2
E05015242,Broadheath,Household is deprived in health and disability (from best-fit OAs),2021,Percentage,Households,26
E05015243,Brooklands,Household is deprived in health and disability (from best-fit OAs),2021,Percentage,Households,26.4
E05015244,Bucklow-St Martins,Household is deprived in health and disability (from best-fit OAs),2021,Percentage,Households,43.8
E05015245,Davyhulme,Household is deprived in health and disability (from best-fit OAs),2021,Percentage,Households,33.8
E05015246,Flixton,Household is deprived in health and disability (from best-fit OAs),2021,Percentage,Households,33.8
E05015247,Gorse Hill & Cornbrook,Household is deprived in health and disability (from best-fit OAs),2021,Percentage,Households,30.5
E05015248,Hale,Household is deprived in health and disability (from best-fit OAs),2021,Percentage,Households,21.8
E05015249,Hale Barns & Timperley South,Household is deprived in health and disability (from best-fit OAs),2021,Percentage,Households,28.4
E05015250,Longford,Household is deprived in health and disability (from best-fit OAs),2021,Percentage,Households,36.9
E05015251,Lostock & Barton,Household is deprived in health and disability (from best-fit OAs),2021,Percentage,Households,34.5
E05015252,Manor,Household is deprived in health and disability (from best-fit OAs),2021,Percentage,Households,35.7
E05015253,Old Trafford,Household is deprived in health and disability (from best-fit OAs),2021,Percentage,Households,37.6
E05015254,Sale Central,Household is deprived in health and disability (from best-fit OAs),2021,Percentage,Households,26.4
E05015255,Sale Moor,Household is deprived in health and disability (from best-fit OAs),2021,Percentage,Households,32.3
E05015256,Stretford & Humphrey Park,Household is deprived in health and disability (from best-fit OAs),2021,Percentage,Households,33.2
E05015257,Timperley Central,Household is deprived in health and disability (from best-fit OAs),2021,Percentage,Households,33
E05015258,Timperley North,Household is deprived in health and disability (from best-fit OAs),2021,Percentage,Households,29
E05015259,Urmston,Household is deprived in health and disability (from best-fit OAs),2021,Percentage,Households,33.2
