area_code,area_name,indicator,period,measure,unit,value
E05015239,Altrincham,Indices of Deprivation: Barriers to Housing and Services,2025,Weighted Score,Score,9.9
E05015240,Ashton upon Mersey,Indices of Deprivation: Barriers to Housing and Services,2025,Weighted Score,Score,7.5
E05015241,Bowdon,Indices of Deprivation: Barriers to Housing and Services,2025,Weighted Score,Score,16.6
E05015242,Broadheath,Indices of Deprivation: Barriers to Housing and Services,2025,Weighted Score,Score,14
E05015243,Brooklands,Indices of Deprivation: Barriers to Housing and Services,2025,Weighted Score,Score,7
E05015244,Bucklow-St Martins,Indices of Deprivation: Barriers to Housing and Services,2025,Weighted Score,Score,23.4
E05015245,Davyhulme,Indices of Deprivation: Barriers to Housing and Services,2025,Weighted Score,Score,9.8
E05015246,Flixton,Indices of Deprivation: Barriers to Housing and Services,2025,Weighted Score,Score,8.6
E05015247,Gorse Hill & Cornbrook,Indices of Deprivation: Barriers to Housing and Services,2025,Weighted Score,Score,12.6
E05015248,Hale,Indices of Deprivation: Barriers to Housing and Services,2025,Weighted Score,Score,9
E05015249,Hale Barns & Timperley South,Indices of Deprivation: Barriers to Housing and Services,2025,Weighted Score,Score,20.4
E05015250,Longford,Indices of Deprivation: Barriers to Housing and Services,2025,Weighted Score,Score,11.3
E05015251,Lostock & Barton,Indices of Deprivation: Barriers to Housing and Services,2025,Weighted Score,Score,12.8
E05015252,Manor,Indices of Deprivation: Barriers to Housing and Services,2025,Weighted Score,Score,11.3
E05015253,Old Trafford,Indices of Deprivation: Barriers to Housing and Services,2025,Weighted Score,Score,15.8
E05015254,Sale Central,Indices of Deprivation: Barriers to Housing and Services,2025,Weighted Score,Score,8.5
E05015255,Sale Moor,Indices of Deprivation: Barriers to Housing and Services,2025,Weighted Score,Score,7.7
E05015256,Stretford & Humphrey Park,Indices of Deprivation: Barriers to Housing and Services,2025,Weighted Score,Score,9.5
E05015257,Timperley Central,Indices of Deprivation: Barriers to Housing and Services,2025,Weighted Score,Score,12.5
E05015258,Timperley North,Indices of Deprivation: Barriers to Housing and Services,2025,Weighted Score,Score,9.8
E05015259,Urmston,Indices of Deprivation: Barriers to Housing and Services,2025,Weighted Score,Score,6.4
