area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Children aged 0 to 15 living in income deprived families,2015,Percentage,Persons,6.2
E05000820,Ashton upon Mersey,Children aged 0 to 15 living in income deprived families,2015,Percentage,Persons,5.2
E05000821,Bowdon,Children aged 0 to 15 living in income deprived families,2015,Percentage,Persons,7.5
E05000822,Broadheath,Children aged 0 to 15 living in income deprived families,2015,Percentage,Persons,8.7
E05000823,Brooklands,Children aged 0 to 15 living in income deprived families,2015,Percentage,Persons,5.4
E05000824,Bucklow-St Martins,Children aged 0 to 15 living in income deprived families,2015,Percentage,Persons,35.8
E05000825,Clifford,Children aged 0 to 15 living in income deprived families,2015,Percentage,Persons,30.2
E05000826,Davyhulme East,Children aged 0 to 15 living in income deprived families,2015,Percentage,Persons,9.2
E05000827,Davyhulme West,Children aged 0 to 15 living in income deprived families,2015,Percentage,Persons,13.2
E05000828,Flixton,Children aged 0 to 15 living in income deprived families,2015,Percentage,Persons,7.2
E05000829,Gorse Hill,Children aged 0 to 15 living in income deprived families,2015,Percentage,Persons,22.8
E05000830,Hale Barns,Children aged 0 to 15 living in income deprived families,2015,Percentage,Persons,6.8
E05000831,Hale Central,Children aged 0 to 15 living in income deprived families,2015,Percentage,Persons,2.6
E05000832,Longford,Children aged 0 to 15 living in income deprived families,2015,Percentage,Persons,20.2
E05000833,Priory,Children aged 0 to 15 living in income deprived families,2015,Percentage,Persons,7.4
E05000834,St Mary's,Children aged 0 to 15 living in income deprived families,2015,Percentage,Persons,20.4
E05000835,Sale Moor,Children aged 0 to 15 living in income deprived families,2015,Percentage,Persons,18.4
E05000836,Stretford,Children aged 0 to 15 living in income deprived families,2015,Percentage,Persons,20.1
E05000837,Timperley,Children aged 0 to 15 living in income deprived families,2015,Percentage,Persons,4.3
E05000838,Urmston,Children aged 0 to 15 living in income deprived families,2015,Percentage,Persons,11.3
E05000839,Village,Children aged 0 to 15 living in income deprived families,2015,Percentage,Persons,14.6
