area_code,area_name,indicator,period,measure,unit,value
E36006405,Altrincham,Adults aged 16-74 who are economically inactive,2011,proportion,persons,22.1
E36006406,Ashton upon Mersey,Adults aged 16-74 who are economically inactive,2011,proportion,persons,25.9
E36006407,Bowdon,Adults aged 16-74 who are economically inactive,2011,proportion,persons,30
E36006408,Broadheath,Adults aged 16-74 who are economically inactive,2011,proportion,persons,22.3
E36006409,Brooklands,Adults aged 16-74 who are economically inactive,2011,proportion,persons,25.5
E36006410,Bucklow-St Martins,Adults aged 16-74 who are economically inactive,2011,proportion,persons,34.3
E36006411,Clifford,Adults aged 16-74 who are economically inactive,2011,proportion,persons,35.4
E36006412,Davyhulme East,Adults aged 16-74 who are economically inactive,2011,proportion,persons,27.5
E36006413,Davyhulme West,Adults aged 16-74 who are economically inactive,2011,proportion,persons,29.5
E36006414,Flixton,Adults aged 16-74 who are economically inactive,2011,proportion,persons,26.4
E36006415,Gorse Hill,Adults aged 16-74 who are economically inactive,2011,proportion,persons,25.3
E36006416,Hale Barns,Adults aged 16-74 who are economically inactive,2011,proportion,persons,32.9
E36006417,Hale Central,Adults aged 16-74 who are economically inactive,2011,proportion,persons,22.2
E36006418,Longford,Adults aged 16-74 who are economically inactive,2011,proportion,persons,31
E36006419,Priory,Adults aged 16-74 who are economically inactive,2011,proportion,persons,21.5
E36006420,Sale Moor,Adults aged 16-74 who are economically inactive,2011,proportion,persons,27.2
E36006421,St Mary's,Adults aged 16-74 who are economically inactive,2011,proportion,persons,31
E36006422,Stretford,Adults aged 16-74 who are economically inactive,2011,proportion,persons,28.3
E36006423,Timperley,Adults aged 16-74 who are economically inactive,2011,proportion,persons,25.2
E36006424,Urmston,Adults aged 16-74 who are economically inactive,2011,proportion,persons,25.3
E36006425,Village,Adults aged 16-74 who are economically inactive,2011,proportion,persons,30.3
