area_code,area_name,indicator,period,measure,unit,value
E05015239,Altrincham,Residents with a higher education qualification (from best-fit OAs),2021,Percentage,Persons,55.2
E05015240,Ashton upon Mersey,Residents with a higher education qualification (from best-fit OAs),2021,Percentage,Persons,47.6
E05015241,Bowdon,Residents with a higher education qualification (from best-fit OAs),2021,Percentage,Persons,54.4
E05015242,Broadheath,Residents with a higher education qualification (from best-fit OAs),2021,Percentage,Persons,46.8
E05015243,Brooklands,Residents with a higher education qualification (from best-fit OAs),2021,Percentage,Persons,51.7
E05015244,Bucklow-St Martins,Residents with a higher education qualification (from best-fit OAs),2021,Percentage,Persons,21
E05015245,Davyhulme,Residents with a higher education qualification (from best-fit OAs),2021,Percentage,Persons,34.3
E05015246,Flixton,Residents with a higher education qualification (from best-fit OAs),2021,Percentage,Persons,37
E05015247,Gorse Hill & Cornbrook,Residents with a higher education qualification (from best-fit OAs),2021,Percentage,Persons,40.6
E05015248,Hale,Residents with a higher education qualification (from best-fit OAs),2021,Percentage,Persons,61.4
E05015249,Hale Barns & Timperley South,Residents with a higher education qualification (from best-fit OAs),2021,Percentage,Persons,52.4
E05015250,Longford,Residents with a higher education qualification (from best-fit OAs),2021,Percentage,Persons,41.3
E05015251,Lostock & Barton,Residents with a higher education qualification (from best-fit OAs),2021,Percentage,Persons,30.7
E05015252,Manor,Residents with a higher education qualification (from best-fit OAs),2021,Percentage,Persons,37.8
E05015253,Old Trafford,Residents with a higher education qualification (from best-fit OAs),2021,Percentage,Persons,37.9
E05015254,Sale Central,Residents with a higher education qualification (from best-fit OAs),2021,Percentage,Persons,53.7
E05015255,Sale Moor,Residents with a higher education qualification (from best-fit OAs),2021,Percentage,Persons,40.6
E05015256,Stretford & Humphrey Park,Residents with a higher education qualification (from best-fit OAs),2021,Percentage,Persons,36.8
E05015257,Timperley Central,Residents with a higher education qualification (from best-fit OAs),2021,Percentage,Persons,39.8
E05015258,Timperley North,Residents with a higher education qualification (from best-fit OAs),2021,Percentage,Persons,44
E05015259,Urmston,Residents with a higher education qualification (from best-fit OAs),2021,Percentage,Persons,39.7
E05015239,Altrincham,Residents with a higher education qualification (from best-fit OAs),2021,Count,Persons,4761
E05015240,Ashton upon Mersey,Residents with a higher education qualification (from best-fit OAs),2021,Count,Persons,3917
E05015241,Bowdon,Residents with a higher education qualification (from best-fit OAs),2021,Count,Persons,4722
E05015242,Broadheath,Residents with a higher education qualification (from best-fit OAs),2021,Count,Persons,4631
E05015243,Brooklands,Residents with a higher education qualification (from best-fit OAs),2021,Count,Persons,4258
E05015244,Bucklow-St Martins,Residents with a higher education qualification (from best-fit OAs),2021,Count,Persons,1622
E05015245,Davyhulme,Residents with a higher education qualification (from best-fit OAs),2021,Count,Persons,3215
E05015246,Flixton,Residents with a higher education qualification (from best-fit OAs),2021,Count,Persons,3400
E05015247,Gorse Hill & Cornbrook,Residents with a higher education qualification (from best-fit OAs),2021,Count,Persons,3690
E05015248,Hale,Residents with a higher education qualification (from best-fit OAs),2021,Count,Persons,5370
E05015249,Hale Barns & Timperley South,Residents with a higher education qualification (from best-fit OAs),2021,Count,Persons,4205
E05015250,Longford,Residents with a higher education qualification (from best-fit OAs),2021,Count,Persons,3443
E05015251,Lostock & Barton,Residents with a higher education qualification (from best-fit OAs),2021,Count,Persons,2771
E05015252,Manor,Residents with a higher education qualification (from best-fit OAs),2021,Count,Persons,3432
E05015253,Old Trafford,Residents with a higher education qualification (from best-fit OAs),2021,Count,Persons,3686
E05015254,Sale Central,Residents with a higher education qualification (from best-fit OAs),2021,Count,Persons,4402
E05015255,Sale Moor,Residents with a higher education qualification (from best-fit OAs),2021,Count,Persons,3655
E05015256,Stretford & Humphrey Park,Residents with a higher education qualification (from best-fit OAs),2021,Count,Persons,3622
E05015257,Timperley Central,Residents with a higher education qualification (from best-fit OAs),2021,Count,Persons,3488
E05015258,Timperley North,Residents with a higher education qualification (from best-fit OAs),2021,Count,Persons,4128
E05015259,Urmston,Residents with a higher education qualification (from best-fit OAs),2021,Count,Persons,3546
