area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Local election turnout,2018-06,Percentage,Votes,46.5
E05000820,Ashton upon Mersey,Local election turnout,2018-06,Percentage,Votes,47.1
E05000821,Bowdon,Local election turnout,2018-06,Percentage,Votes,42.5
E05000822,Broadheath,Local election turnout,2018-06,Percentage,Votes,42.6
E05000823,Brooklands,Local election turnout,2018-06,Percentage,Votes,52
E05000824,Bucklow-St Martins,Local election turnout,2018-06,Percentage,Votes,28.5
E05000825,Clifford,Local election turnout,2018-06,Percentage,Votes,39.3
E05000826,Davyhulme East,Local election turnout,2018-06,Percentage,Votes,49.5
E05000827,Davyhulme West,Local election turnout,2018-06,Percentage,Votes,50.5
E05000828,Flixton,Local election turnout,2018-06,Percentage,Votes,55
E05000829,Gorse Hill,Local election turnout,2018-06,Percentage,Votes,33.5
E05000830,Hale Barns,Local election turnout,2018-06,Percentage,Votes,39
E05000831,Hale Central,Local election turnout,2018-06,Percentage,Votes,40.3
E05000832,Longford,Local election turnout,2018-06,Percentage,Votes,40.1
E05000833,Priory,Local election turnout,2018-06,Percentage,Votes,40.9
E05000834,St Mary's,Local election turnout,2018-06,Percentage,Votes,36.4
E05000835,Sale Moor,Local election turnout,2018-06,Percentage,Votes,39.9
E05000836,Stretford,Local election turnout,2018-06,Percentage,Votes,39.5
E05000837,Timperley,Local election turnout,2018-06,Percentage,Votes,49.6
E05000838,Urmston,Local election turnout,2018-06,Percentage,Votes,45.3
E05000839,Village,Local election turnout,2018-06,Percentage,Votes,41.2
