area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Adults binge drinking,2006 to 2008,Percentage,Persons,25.7
E05000820,Ashton upon Mersey,Adults binge drinking,2006 to 2008,Percentage,Persons,25
E05000821,Bowdon,Adults binge drinking,2006 to 2008,Percentage,Persons,22.2
E05000822,Broadheath,Adults binge drinking,2006 to 2008,Percentage,Persons,24.9
E05000823,Brooklands,Adults binge drinking,2006 to 2008,Percentage,Persons,24.6
E05000824,Bucklow-St Martins,Adults binge drinking,2006 to 2008,Percentage,Persons,25.9
E05000825,Clifford,Adults binge drinking,2006 to 2008,Percentage,Persons,13
E05000826,Davyhulme East,Adults binge drinking,2006 to 2008,Percentage,Persons,22.7
E05000827,Davyhulme West,Adults binge drinking,2006 to 2008,Percentage,Persons,23.2
E05000828,Flixton,Adults binge drinking,2006 to 2008,Percentage,Persons,23.3
E05000829,Gorse Hill,Adults binge drinking,2006 to 2008,Percentage,Persons,26.9
E05000830,Hale Barns,Adults binge drinking,2006 to 2008,Percentage,Persons,18.1
E05000831,Hale Central,Adults binge drinking,2006 to 2008,Percentage,Persons,23.4
E05000832,Longford,Adults binge drinking,2006 to 2008,Percentage,Persons,19.7
E05000833,Priory,Adults binge drinking,2006 to 2008,Percentage,Persons,29
E05000834,St Mary's,Adults binge drinking,2006 to 2008,Percentage,Persons,22.6
E05000835,Sale Moor,Adults binge drinking,2006 to 2008,Percentage,Persons,22.6
E05000836,Stretford,Adults binge drinking,2006 to 2008,Percentage,Persons,26.8
E05000837,Timperley,Adults binge drinking,2006 to 2008,Percentage,Persons,22
E05000838,Urmston,Adults binge drinking,2006 to 2008,Percentage,Persons,26.4
E05000839,Village,Adults binge drinking,2006 to 2008,Percentage,Persons,24
