area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Child development at age 5,2013/14,percent,persons,77.59783477
E05000820,Ashton upon Mersey,Child development at age 5,2013/14,percent,persons,75.42212938
E05000821,Bowdon,Child development at age 5,2013/14,percent,persons,78.19087914
E05000822,Broadheath,Child development at age 5,2013/14,percent,persons,67.01304639
E05000823,Brooklands,Child development at age 5,2013/14,percent,persons,77.94163606
E05000824,Bucklow-St Martins,Child development at age 5,2013/14,percent,persons,57.30975933
E05000825,Clifford,Child development at age 5,2013/14,percent,persons,50.81164965
E05000826,Davyhulme East,Child development at age 5,2013/14,percent,persons,67.85723933
E05000827,Davyhulme West,Child development at age 5,2013/14,percent,persons,69.69874444
E05000828,Flixton,Child development at age 5,2013/14,percent,persons,73.81108004
E05000829,Gorse Hill,Child development at age 5,2013/14,percent,persons,61.92329821
E05000830,Hale Barns,Child development at age 5,2013/14,percent,persons,74.06500679
E05000831,Hale Central,Child development at age 5,2013/14,percent,persons,77.11916674
E05000832,Longford,Child development at age 5,2013/14,percent,persons,62.10568151
E05000833,Priory,Child development at age 5,2013/14,percent,persons,84.52027027
E05000834,St Mary's,Child development at age 5,2013/14,percent,persons,65.01500591
E05000835,Sale Moor,Child development at age 5,2013/14,percent,persons,62.68173407
E05000836,Stretford,Child development at age 5,2013/14,percent,persons,63.73993248
E05000837,Timperley,Child development at age 5,2013/14,percent,persons,74.7265568
E05000838,Urmston,Child development at age 5,2013/14,percent,persons,70.26856123
E05000839,Village,Child development at age 5,2013/14,percent,persons,63.1181305
