area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,"Deaths from circulatory disease, under 75 years",2015 - 19,SMR,Persons,82.2
E05000820,Ashton upon Mersey,"Deaths from circulatory disease, under 75 years",2015 - 19,SMR,Persons,74
E05000821,Bowdon,"Deaths from circulatory disease, under 75 years",2015 - 19,SMR,Persons,41.3
E05000822,Broadheath,"Deaths from circulatory disease, under 75 years",2015 - 19,SMR,Persons,111.1
E05000823,Brooklands,"Deaths from circulatory disease, under 75 years",2015 - 19,SMR,Persons,50.5
E05000824,Bucklow-St Martins,"Deaths from circulatory disease, under 75 years",2015 - 19,SMR,Persons,180.5
E05000825,Clifford,"Deaths from circulatory disease, under 75 years",2015 - 19,SMR,Persons,195.7
E05000826,Davyhulme East,"Deaths from circulatory disease, under 75 years",2015 - 19,SMR,Persons,50.7
E05000827,Davyhulme West,"Deaths from circulatory disease, under 75 years",2015 - 19,SMR,Persons,128.9
E05000828,Flixton,"Deaths from circulatory disease, under 75 years",2015 - 19,SMR,Persons,90.9
E05000829,Gorse Hill,"Deaths from circulatory disease, under 75 years",2015 - 19,SMR,Persons,95.8
E05000830,Hale Barns,"Deaths from circulatory disease, under 75 years",2015 - 19,SMR,Persons,68.8
E05000831,Hale Central,"Deaths from circulatory disease, under 75 years",2015 - 19,SMR,Persons,52.2
E05000832,Longford,"Deaths from circulatory disease, under 75 years",2015 - 19,SMR,Persons,112.8
E05000833,Priory,"Deaths from circulatory disease, under 75 years",2015 - 19,SMR,Persons,111
E05000834,St Mary's,"Deaths from circulatory disease, under 75 years",2015 - 19,SMR,Persons,98.1
E05000835,Sale Moor,"Deaths from circulatory disease, under 75 years",2015 - 19,SMR,Persons,125.2
E05000836,Stretford,"Deaths from circulatory disease, under 75 years",2015 - 19,SMR,Persons,153.1
E05000837,Timperley,"Deaths from circulatory disease, under 75 years",2015 - 19,SMR,Persons,68.4
E05000838,Urmston,"Deaths from circulatory disease, under 75 years",2015 - 19,SMR,Persons,150.2
E05000839,Village,"Deaths from circulatory disease, under 75 years",2015 - 19,SMR,Persons,70.9
