area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Deaths from respiratory diseases,2011 to 2015,SMR,Persons,100.9524049
E05000820,Ashton upon Mersey,Deaths from respiratory diseases,2011 to 2015,SMR,Persons,62.97727563
E05000821,Bowdon,Deaths from respiratory diseases,2011 to 2015,SMR,Persons,94.28967559
E05000822,Broadheath,Deaths from respiratory diseases,2011 to 2015,SMR,Persons,71.14583267
E05000823,Brooklands,Deaths from respiratory diseases,2011 to 2015,SMR,Persons,74.3701554
E05000824,Bucklow-St Martins,Deaths from respiratory diseases,2011 to 2015,SMR,Persons,162.169012
E05000825,Clifford,Deaths from respiratory diseases,2011 to 2015,SMR,Persons,90.48414727
E05000826,Davyhulme East,Deaths from respiratory diseases,2011 to 2015,SMR,Persons,94.63335478
E05000827,Davyhulme West,Deaths from respiratory diseases,2011 to 2015,SMR,Persons,98.446949
E05000828,Flixton,Deaths from respiratory diseases,2011 to 2015,SMR,Persons,89.00374829
E05000829,Gorse Hill,Deaths from respiratory diseases,2011 to 2015,SMR,Persons,136.4568281
E05000830,Hale Barns,Deaths from respiratory diseases,2011 to 2015,SMR,Persons,66.2974352
E05000831,Hale Central,Deaths from respiratory diseases,2011 to 2015,SMR,Persons,52.13178818
E05000832,Longford,Deaths from respiratory diseases,2011 to 2015,SMR,Persons,107.8890114
E05000833,Priory,Deaths from respiratory diseases,2011 to 2015,SMR,Persons,91.77931346
E05000834,St Mary's,Deaths from respiratory diseases,2011 to 2015,SMR,Persons,111.5593394
E05000835,Sale Moor,Deaths from respiratory diseases,2011 to 2015,SMR,Persons,82.11145047
E05000836,Stretford,Deaths from respiratory diseases,2011 to 2015,SMR,Persons,128.1208966
E05000837,Timperley,Deaths from respiratory diseases,2011 to 2015,SMR,Persons,80.87242844
E05000838,Urmston,Deaths from respiratory diseases,2011 to 2015,SMR,Persons,138.0110371
E05000839,Village,Deaths from respiratory diseases,2011 to 2015,SMR,Persons,104.8943832
