area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Female life expectancy at birth,2013 to 2017,Years,Females,84.8
E05000820,Ashton upon Mersey,Female life expectancy at birth,2013 to 2017,Years,Females,85.1
E05000821,Bowdon,Female life expectancy at birth,2013 to 2017,Years,Females,86.3
E05000822,Broadheath,Female life expectancy at birth,2013 to 2017,Years,Females,82.4
E05000823,Brooklands,Female life expectancy at birth,2013 to 2017,Years,Females,85.1
E05000824,Bucklow-St Martins,Female life expectancy at birth,2013 to 2017,Years,Females,78.6
E05000825,Clifford,Female life expectancy at birth,2013 to 2017,Years,Females,83.9
E05000826,Davyhulme East,Female life expectancy at birth,2013 to 2017,Years,Females,83.6
E05000827,Davyhulme West,Female life expectancy at birth,2013 to 2017,Years,Females,84.5
E05000828,Flixton,Female life expectancy at birth,2013 to 2017,Years,Females,82.9
E05000829,Gorse Hill,Female life expectancy at birth,2013 to 2017,Years,Females,81.8
E05000830,Hale Barns,Female life expectancy at birth,2013 to 2017,Years,Females,86.7
E05000831,Hale Central,Female life expectancy at birth,2013 to 2017,Years,Females,86.1
E05000832,Longford,Female life expectancy at birth,2013 to 2017,Years,Females,84.3
E05000833,Priory,Female life expectancy at birth,2013 to 2017,Years,Females,84
E05000834,St Mary's,Female life expectancy at birth,2013 to 2017,Years,Females,83.3
E05000835,Sale Moor,Female life expectancy at birth,2013 to 2017,Years,Females,83.5
E05000836,Stretford,Female life expectancy at birth,2013 to 2017,Years,Females,81.4
E05000837,Timperley,Female life expectancy at birth,2013 to 2017,Years,Females,84.5
E05000838,Urmston,Female life expectancy at birth,2013 to 2017,Years,Females,81.8
E05000839,Village,Female life expectancy at birth,2013 to 2017,Years,Females,84.3
