area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Hospital admissions for self-harm,2015/16 - 19/20,SAR,Admissions,71.4
E05000820,Ashton upon Mersey,Hospital admissions for self-harm,2015/16 - 19/20,SAR,Admissions,60.7
E05000821,Bowdon,Hospital admissions for self-harm,2015/16 - 19/20,SAR,Admissions,38.5
E05000822,Broadheath,Hospital admissions for self-harm,2015/16 - 19/20,SAR,Admissions,61.4
E05000823,Brooklands,Hospital admissions for self-harm,2015/16 - 19/20,SAR,Admissions,30.3
E05000824,Bucklow-St Martins,Hospital admissions for self-harm,2015/16 - 19/20,SAR,Admissions,170.3
E05000825,Clifford,Hospital admissions for self-harm,2015/16 - 19/20,SAR,Admissions,67.9
E05000826,Davyhulme East,Hospital admissions for self-harm,2015/16 - 19/20,SAR,Admissions,84.4
E05000827,Davyhulme West,Hospital admissions for self-harm,2015/16 - 19/20,SAR,Admissions,131.2
E05000828,Flixton,Hospital admissions for self-harm,2015/16 - 19/20,SAR,Admissions,119
E05000829,Gorse Hill,Hospital admissions for self-harm,2015/16 - 19/20,SAR,Admissions,93.9
E05000830,Hale Barns,Hospital admissions for self-harm,2015/16 - 19/20,SAR,Admissions,31
E05000831,Hale Central,Hospital admissions for self-harm,2015/16 - 19/20,SAR,Admissions,49.5
E05000832,Longford,Hospital admissions for self-harm,2015/16 - 19/20,SAR,Admissions,46.6
E05000833,Priory,Hospital admissions for self-harm,2015/16 - 19/20,SAR,Admissions,72.1
E05000834,St Mary's,Hospital admissions for self-harm,2015/16 - 19/20,SAR,Admissions,95.7
E05000835,Sale Moor,Hospital admissions for self-harm,2015/16 - 19/20,SAR,Admissions,102.2
E05000836,Stretford,Hospital admissions for self-harm,2015/16 - 19/20,SAR,Admissions,114.4
E05000837,Timperley,Hospital admissions for self-harm,2015/16 - 19/20,SAR,Admissions,44.2
E05000838,Urmston,Hospital admissions for self-harm,2015/16 - 19/20,SAR,Admissions,110.2
E05000839,Village,Hospital admissions for self-harm,2015/16 - 19/20,SAR,Admissions,85.5
