area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Killed or Seriously Injured,2017,count,casualties,21
E05000820,Ashton upon Mersey,Killed or Seriously Injured,2017,count,casualties,7
E05000821,Bowdon,Killed or Seriously Injured,2017,count,casualties,17
E05000822,Broadheath,Killed or Seriously Injured,2017,count,casualties,13
E05000823,Brooklands,Killed or Seriously Injured,2017,count,casualties,10
E05000824,Bucklow-St Martins,Killed or Seriously Injured,2017,count,casualties,25
E05000825,Clifford,Killed or Seriously Injured,2017,count,casualties,41
E05000826,Davyhulme East,Killed or Seriously Injured,2017,count,casualties,27
E05000827,Davyhulme West,Killed or Seriously Injured,2017,count,casualties,10
E05000828,Flixton,Killed or Seriously Injured,2017,count,casualties,16
E05000829,Gorse Hill,Killed or Seriously Injured,2017,count,casualties,63
E05000830,Hale Barns,Killed or Seriously Injured,2017,count,casualties,8
E05000831,Hale Central,Killed or Seriously Injured,2017,count,casualties,7
E05000832,Longford,Killed or Seriously Injured,2017,count,casualties,28
E05000833,Priory,Killed or Seriously Injured,2017,count,casualties,20
E05000834,St Mary's,Killed or Seriously Injured,2017,count,casualties,9
E05000835,Sale Moor,Killed or Seriously Injured,2017,count,casualties,13
E05000836,Stretford,Killed or Seriously Injured,2017,count,casualties,27
E05000837,Timperley,Killed or Seriously Injured,2017,count,casualties,9
E05000838,Urmston,Killed or Seriously Injured,2017,count,casualties,15
E05000839,Village,Killed or Seriously Injured,2017,count,casualties,16
