area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Male healthy life expectancy,2009-2013,count,persons,67.2
E05000820,Ashton upon Mersey,Male healthy life expectancy,2009-2013,count,persons,67.2
E05000821,Bowdon,Male healthy life expectancy,2009-2013,count,persons,70.6
E05000822,Broadheath,Male healthy life expectancy,2009-2013,count,persons,67.6
E05000823,Brooklands,Male healthy life expectancy,2009-2013,count,persons,69.8
E05000824,Bucklow-St Martins,Male healthy life expectancy,2009-2013,count,persons,57
E05000825,Clifford,Male healthy life expectancy,2009-2013,count,persons,56.1
E05000826,Davyhulme East,Male healthy life expectancy,2009-2013,count,persons,64
E05000827,Davyhulme West,Male healthy life expectancy,2009-2013,count,persons,64
E05000828,Flixton,Male healthy life expectancy,2009-2013,count,persons,65.4
E05000829,Gorse Hill,Male healthy life expectancy,2009-2013,count,persons,59
E05000830,Hale Barns,Male healthy life expectancy,2009-2013,count,persons,70.6
E05000831,Hale Central,Male healthy life expectancy,2009-2013,count,persons,72
E05000832,Longford,Male healthy life expectancy,2009-2013,count,persons,60
E05000833,Priory,Male healthy life expectancy,2009-2013,count,persons,65.4
E05000835,Sale Moor,Male healthy life expectancy,2009-2013,count,persons,63.5
E05000834,St Mary's,Male healthy life expectancy,2009-2013,count,persons,63.7
E05000836,Stretford,Male healthy life expectancy,2009-2013,count,persons,60.6
E05000837,Timperley,Male healthy life expectancy,2009-2013,count,persons,68.5
E05000838,Urmston,Male healthy life expectancy,2009-2013,count,persons,63.2
E05000839,Village,Male healthy life expectancy,2009-2013,count,persons,63.5
