area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Adults classified as obese,2006 to 2008,percentage,persons,17.25476841
E05000820,Ashton upon Mersey,Adults classified as obese,2006 to 2008,percentage,persons,20.06453292
E05000821,Bowdon,Adults classified as obese,2006 to 2008,percentage,persons,15.76092684
E05000822,Broadheath,Adults classified as obese,2006 to 2008,percentage,persons,21.92692339
E05000823,Brooklands,Adults classified as obese,2006 to 2008,percentage,persons,19.60474601
E05000824,Bucklow-St Martins,Adults classified as obese,2006 to 2008,percentage,persons,25.18259917
E05000825,Clifford,Adults classified as obese,2006 to 2008,percentage,persons,24.48960425
E05000826,Davyhulme East,Adults classified as obese,2006 to 2008,percentage,persons,24.34637755
E05000827,Davyhulme West,Adults classified as obese,2006 to 2008,percentage,persons,23.47710678
E05000828,Flixton,Adults classified as obese,2006 to 2008,percentage,persons,23.53950464
E05000829,Gorse Hill,Adults classified as obese,2006 to 2008,percentage,persons,27.25569143
E05000830,Hale Barns,Adults classified as obese,2006 to 2008,percentage,persons,16.80993064
E05000831,Hale Central,Adults classified as obese,2006 to 2008,percentage,persons,15.23712979
E05000832,Longford,Adults classified as obese,2006 to 2008,percentage,persons,23.28605864
E05000833,Priory,Adults classified as obese,2006 to 2008,percentage,persons,17.32263296
E05000834,St Mary's,Adults classified as obese,2006 to 2008,percentage,persons,21.89339092
E05000835,Sale Moor,Adults classified as obese,2006 to 2008,percentage,persons,20.87523426
E05000836,Stretford,Adults classified as obese,2006 to 2008,percentage,persons,24.08287782
E05000837,Timperley,Adults classified as obese,2006 to 2008,percentage,persons,20.21923179
E05000838,Urmston,Adults classified as obese,2006 to 2008,percentage,persons,23.82588407
E05000839,Village,Adults classified as obese,2006 to 2008,percentage,persons,21.72652955
