area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Median property prices,2021,Median,Pounds,360000
E05000820,Ashton upon Mersey,Median property prices,2021,Median,Pounds,331000
E05000821,Bowdon,Median property prices,2021,Median,Pounds,594975
E05000822,Broadheath,Median property prices,2021,Median,Pounds,330000
E05000823,Brooklands,Median property prices,2021,Median,Pounds,400000
E05000824,Bucklow-St Martins,Median property prices,2021,Median,Pounds,201500
E05000825,Clifford,Median property prices,2021,Median,Pounds,275000
E05000826,Davyhulme East,Median property prices,2021,Median,Pounds,295000
E05000827,Davyhulme West,Median property prices,2021,Median,Pounds,290000
E05000828,Flixton,Median property prices,2021,Median,Pounds,290000
E05000829,Gorse Hill,Median property prices,2021,Median,Pounds,225000
E05000830,Hale Barns,Median property prices,2021,Median,Pounds,690000
E05000831,Hale Central,Median property prices,2021,Median,Pounds,547000
E05000832,Longford,Median property prices,2021,Median,Pounds,293747
E05000833,Priory,Median property prices,2021,Median,Pounds,295000
E05000834,St Mary's,Median property prices,2021,Median,Pounds,340000
E05000835,Sale Moor,Median property prices,2021,Median,Pounds,290000
E05000836,Stretford,Median property prices,2021,Median,Pounds,270000
E05000837,Timperley,Median property prices,2021,Median,Pounds,390000
E05000838,Urmston,Median property prices,2021,Median,Pounds,285000
E05000839,Village,Median property prices,2021,Median,Pounds,341000
