area_code,area_name,indicator,period,measure,unit,value
E05015239,Altrincham,Owned or shared ownership (from best-fit OAs),2021,Percentage,Households,63.9
E05015240,Ashton upon Mersey,Owned or shared ownership (from best-fit OAs),2021,Percentage,Households,75.3
E05015241,Bowdon,Owned or shared ownership (from best-fit OAs),2021,Percentage,Households,78.2
E05015242,Broadheath,Owned or shared ownership (from best-fit OAs),2021,Percentage,Households,75.8
E05015243,Brooklands,Owned or shared ownership (from best-fit OAs),2021,Percentage,Households,81.2
E05015244,Bucklow-St Martins,Owned or shared ownership (from best-fit OAs),2021,Percentage,Households,53.3
E05015245,Davyhulme,Owned or shared ownership (from best-fit OAs),2021,Percentage,Households,82.2
E05015246,Flixton,Owned or shared ownership (from best-fit OAs),2021,Percentage,Households,81.5
E05015247,Gorse Hill & Cornbrook,Owned or shared ownership (from best-fit OAs),2021,Percentage,Households,45.4
E05015248,Hale,Owned or shared ownership (from best-fit OAs),2021,Percentage,Households,78.4
E05015249,Hale Barns & Timperley South,Owned or shared ownership (from best-fit OAs),2021,Percentage,Households,84.9
E05015250,Longford,Owned or shared ownership (from best-fit OAs),2021,Percentage,Households,59.8
E05015251,Lostock & Barton,Owned or shared ownership (from best-fit OAs),2021,Percentage,Households,70.4
E05015252,Manor,Owned or shared ownership (from best-fit OAs),2021,Percentage,Households,64.9
E05015253,Old Trafford,Owned or shared ownership (from best-fit OAs),2021,Percentage,Households,47.1
E05015254,Sale Central,Owned or shared ownership (from best-fit OAs),2021,Percentage,Households,60.2
E05015255,Sale Moor,Owned or shared ownership (from best-fit OAs),2021,Percentage,Households,69.6
E05015256,Stretford & Humphrey Park,Owned or shared ownership (from best-fit OAs),2021,Percentage,Households,70.1
E05015257,Timperley Central,Owned or shared ownership (from best-fit OAs),2021,Percentage,Households,73.4
E05015258,Timperley North,Owned or shared ownership (from best-fit OAs),2021,Percentage,Households,81.1
E05015259,Urmston,Owned or shared ownership (from best-fit OAs),2021,Percentage,Households,69.9
