area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Percentage of dependent children (0-18) in out-of-work households,2017,percent,persons,5.1
E05000820,Ashton upon Mersey,Percentage of dependent children (0-18) in out-of-work households,2017,percent,persons,1.9
E05000821,Bowdon,Percentage of dependent children (0-18) in out-of-work households,2017,percent,persons,3.8
E05000822,Broadheath,Percentage of dependent children (0-18) in out-of-work households,2017,percent,persons,4.1
E05000823,Brooklands,Percentage of dependent children (0-18) in out-of-work households,2017,percent,persons,1.7
E05000824,Bucklow-St Martins,Percentage of dependent children (0-18) in out-of-work households,2017,percent,persons,26.6
E05000825,Clifford,Percentage of dependent children (0-18) in out-of-work households,2017,percent,persons,17.7
E05000826,Davyhulme East,Percentage of dependent children (0-18) in out-of-work households,2017,percent,persons,6.6
E05000827,Davyhulme West,Percentage of dependent children (0-18) in out-of-work households,2017,percent,persons,8.9
E05000828,Flixton,Percentage of dependent children (0-18) in out-of-work households,2017,percent,persons,4.6
E05000829,Gorse Hill,Percentage of dependent children (0-18) in out-of-work households,2017,percent,persons,16.2
E05000830,Hale Barns,Percentage of dependent children (0-18) in out-of-work households,2017,percent,persons,2.9
E05000831,Hale Central,Percentage of dependent children (0-18) in out-of-work households,2017,percent,persons,1.7
E05000832,Longford,Percentage of dependent children (0-18) in out-of-work households,2017,percent,persons,13.8
E05000833,Priory,Percentage of dependent children (0-18) in out-of-work households,2017,percent,persons,3.2
E05000834,St Mary's,Percentage of dependent children (0-18) in out-of-work households,2017,percent,persons,13.3
E05000835,Sale Moor,Percentage of dependent children (0-18) in out-of-work households,2017,percent,persons,11.9
E05000836,Stretford,Percentage of dependent children (0-18) in out-of-work households,2017,percent,persons,13.4
E05000837,Timperley,Percentage of dependent children (0-18) in out-of-work households,2017,percent,persons,1.8
E05000838,Urmston,Percentage of dependent children (0-18) in out-of-work households,2017,percent,persons,4.7
E05000839,Village,Percentage of dependent children (0-18) in out-of-work households,2017,percent,persons,11.8
