area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Claimant rate,2018-11-01,proportion,persons,1.6
E05000820,Ashton upon Mersey,Claimant rate,2018-11-01,proportion,persons,1.6
E05000821,Bowdon,Claimant rate,2018-11-01,proportion,persons,1.4
E05000822,Broadheath,Claimant rate,2018-11-01,proportion,persons,1.6
E05000823,Brooklands,Claimant rate,2018-11-01,proportion,persons,1
E05000824,Bucklow-St Martins,Claimant rate,2018-11-01,proportion,persons,5.1
E05000825,Clifford,Claimant rate,2018-11-01,proportion,persons,5.2
E05000826,Davyhulme East,Claimant rate,2018-11-01,proportion,persons,1.7
E05000827,Davyhulme West,Claimant rate,2018-11-01,proportion,persons,1.8
E05000828,Flixton,Claimant rate,2018-11-01,proportion,persons,1.3
E05000829,Gorse Hill,Claimant rate,2018-11-01,proportion,persons,3.7
E05000830,Hale Barns,Claimant rate,2018-11-01,proportion,persons,1.2
E05000831,Hale Central,Claimant rate,2018-11-01,proportion,persons,0.8
E05000832,Longford,Claimant rate,2018-11-01,proportion,persons,3.6
E05000833,Priory,Claimant rate,2018-11-01,proportion,persons,1.4
E05000834,St Mary's,Claimant rate,2018-11-01,proportion,persons,3.3
E05000835,Sale Moor,Claimant rate,2018-11-01,proportion,persons,2.2
E05000836,Stretford,Claimant rate,2018-11-01,proportion,persons,3.8
E05000837,Timperley,Claimant rate,2018-11-01,proportion,persons,0.6
E05000838,Urmston,Claimant rate,2018-11-01,proportion,persons,2
E05000839,Village,Claimant rate,2018-11-01,proportion,persons,2.3
