area_code,area_name,indicator,period,measure,unit,value
E36006405,Altrincham,Professional occupations,2011,percentage,persons,41.8
E36006406,Ashton upon Mersey,Professional occupations,2011,percentage,persons,39.3
E36006407,Bowdon,Professional occupations,2011,percentage,persons,54.5
E36006408,Broadheath,Professional occupations,2011,percentage,persons,33.8
E36006409,Brooklands,Professional occupations,2011,percentage,persons,40.8
E36006410,Bucklow-St Martins,Professional occupations,2011,percentage,persons,16.5
E36006411,Clifford,Professional occupations,2011,percentage,persons,26
E36006412,Davyhulme East,Professional occupations,2011,percentage,persons,25.8
E36006413,Davyhulme West,Professional occupations,2011,percentage,persons,26.4
E36006414,Flixton,Professional occupations,2011,percentage,persons,30
E36006415,Gorse Hill,Professional occupations,2011,percentage,persons,21.3
E36006416,Hale Barns,Professional occupations,2011,percentage,persons,50.9
E36006417,Hale Central,Professional occupations,2011,percentage,persons,54.9
E36006418,Longford,Professional occupations,2011,percentage,persons,29
E36006419,Priory,Professional occupations,2011,percentage,persons,41.2
E36006420,Sale Moor,Professional occupations,2011,percentage,persons,31.2
E36006421,St Mary's,Professional occupations,2011,percentage,persons,31.1
E36006422,Stretford,Professional occupations,2011,percentage,persons,25.2
E36006423,Timperley,Professional occupations,2011,percentage,persons,36.2
E36006424,Urmston,Professional occupations,2011,percentage,persons,30.6
E36006425,Village,Professional occupations,2011,percentage,persons,30.6
