area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Households with no car,2011,percentage,households,19.2
E05000820,Ashton upon Mersey,Households with no car,2011,percentage,households,18.8
E05000821,Bowdon,Households with no car,2011,percentage,households,11.9
E05000822,Broadheath,Households with no car,2011,percentage,households,14.5
E05000823,Brooklands,Households with no car,2011,percentage,households,13.4
E05000824,Bucklow-St Martins,Households with no car,2011,percentage,households,33.7
E05000825,Clifford,Households with no car,2011,percentage,households,43.2
E05000826,Davyhulme East,Households with no car,2011,percentage,households,18.4
E05000827,Davyhulme West,Households with no car,2011,percentage,households,15.9
E05000828,Flixton,Households with no car,2011,percentage,households,16.9
E05000829,Gorse Hill,Households with no car,2011,percentage,households,31.7
E05000830,Hale Barns,Households with no car,2011,percentage,households,9.5
E05000831,Hale Central,Households with no car,2011,percentage,households,11.2
E05000832,Longford,Households with no car,2011,percentage,households,31.3
E05000833,Priory,Households with no car,2011,percentage,households,22.9
E05000834,St Mary's,Households with no car,2011,percentage,households,24.2
E05000835,Sale Moor,Households with no car,2011,percentage,households,24.2
E05000836,Stretford,Households with no car,2011,percentage,households,31.6
E05000837,Timperley,Households with no car,2011,percentage,households,10.1
E05000838,Urmston,Households with no car,2011,percentage,households,22.9
E05000839,Village,Households with no car,2011,percentage,households,21.3
