area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,All licensed plug-in vehicles,2022-03,Count,vehicles,161
E05000820,Ashton upon Mersey,All licensed plug-in vehicles,2022-03,Count,vehicles,100
E05000821,Bowdon,All licensed plug-in vehicles,2022-03,Count,vehicles,205
E05000822,Broadheath,All licensed plug-in vehicles,2022-03,Count,vehicles,196
E05000823,Brooklands,All licensed plug-in vehicles,2022-03,Count,vehicles,90
E05000824,Bucklow-St Martins,All licensed plug-in vehicles,2022-03,Count,vehicles,27
E05000825,Clifford,All licensed plug-in vehicles,2022-03,Count,vehicles,27
E05000826,Davyhulme East,All licensed plug-in vehicles,2022-03,Count,vehicles,153
E05000827,Davyhulme West,All licensed plug-in vehicles,2022-03,Count,vehicles,51
E05000828,Flixton,All licensed plug-in vehicles,2022-03,Count,vehicles,71
E05000829,Gorse Hill,All licensed plug-in vehicles,2022-03,Count,vehicles,109
E05000830,Hale Barns,All licensed plug-in vehicles,2022-03,Count,vehicles,143
E05000831,Hale Central,All licensed plug-in vehicles,2022-03,Count,vehicles,192
E05000832,Longford,All licensed plug-in vehicles,2022-03,Count,vehicles,78
E05000833,Priory,All licensed plug-in vehicles,2022-03,Count,vehicles,93
E05000834,St Mary's,All licensed plug-in vehicles,2022-03,Count,vehicles,66
E05000835,Sale Moor,All licensed plug-in vehicles,2022-03,Count,vehicles,55
E05000836,Stretford,All licensed plug-in vehicles,2022-03,Count,vehicles,47
E05000837,Timperley,All licensed plug-in vehicles,2022-03,Count,vehicles,92
E05000838,Urmston,All licensed plug-in vehicles,2022-03,Count,vehicles,56
E05000839,Village,All licensed plug-in vehicles,2022-03,Count,vehicles,90
