area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,All licensed ultra low emission vehicles,2022-03,Count,vehicles,156
E05000820,Ashton upon Mersey,All licensed ultra low emission vehicles,2022-03,Count,vehicles,99
E05000821,Bowdon,All licensed ultra low emission vehicles,2022-03,Count,vehicles,192
E05000822,Broadheath,All licensed ultra low emission vehicles,2022-03,Count,vehicles,192
E05000823,Brooklands,All licensed ultra low emission vehicles,2022-03,Count,vehicles,90
E05000824,Bucklow-St Martins,All licensed ultra low emission vehicles,2022-03,Count,vehicles,27
E05000825,Clifford,All licensed ultra low emission vehicles,2022-03,Count,vehicles,25
E05000826,Davyhulme East,All licensed ultra low emission vehicles,2022-03,Count,vehicles,150
E05000827,Davyhulme West,All licensed ultra low emission vehicles,2022-03,Count,vehicles,48
E05000828,Flixton,All licensed ultra low emission vehicles,2022-03,Count,vehicles,72
E05000829,Gorse Hill,All licensed ultra low emission vehicles,2022-03,Count,vehicles,110
E05000830,Hale Barns,All licensed ultra low emission vehicles,2022-03,Count,vehicles,136
E05000831,Hale Central,All licensed ultra low emission vehicles,2022-03,Count,vehicles,180
E05000832,Longford,All licensed ultra low emission vehicles,2022-03,Count,vehicles,77
E05000833,Priory,All licensed ultra low emission vehicles,2022-03,Count,vehicles,92
E05000834,St Mary's,All licensed ultra low emission vehicles,2022-03,Count,vehicles,67
E05000835,Sale Moor,All licensed ultra low emission vehicles,2022-03,Count,vehicles,53
E05000836,Stretford,All licensed ultra low emission vehicles,2022-03,Count,vehicles,44
E05000837,Timperley,All licensed ultra low emission vehicles,2022-03,Count,vehicles,90
E05000838,Urmston,All licensed ultra low emission vehicles,2022-03,Count,vehicles,57
E05000839,Village,All licensed ultra low emission vehicles,2022-03,Count,vehicles,88
